Name,Active,IFN,Ne_lact,Ne_growth,Ne_maint,DM,CP
"filter_cake",0,UAD307,0.99,0.58,0.00,0.40,6.50
"fish_meal",0,5-02-009,2.33,1.70,2.44,0.91,68.50
"flaxseed",0,5-01-614,1.94,1.31,1.96,0.90,23.50
"forage_mix",0,1-02-243,1.23,0.75,1.33,0.84,13.30
"grain_mix",0,UAD110,1.90,1.31,0.00,0.85,16.70
"grain_screenings",0,UAD110,1.90,1.31,0.00,0.85,16.70
"grape_pomace",0,UAD306,1.39,0.82,0.00,0.85,12.00
"grass_hay",0,1-02-243,1.23,0.75,1.33,0.84,13.30
"grass_haylage",0,3-02-218,1.16,0.68,1.25,0.84,16.80
"grass_silage",0,3-02-218,1.16,0.68,1.25,0.84,16.80
"grass/legume,_fresh",0,2-02-260,1.54,1.06,1.67,0.84,26.50
"hfp",0,UAD555,2.20,1.76,0.00,0.90,19.00
"linseed_meal",0,5-30-288,1.57,1.10,1.48,0.90,32.60
"lol_surepro",0,UAD309,2.21,1.52,0.00,0.88,52.25
"meat_&_bone_meal",0,5-00-388,1.63,1.09,1.71,0.94,54.20
"megalac",0,UAD103,5.02,3.46,0.00,0.98,0.00
"mill_run_+_fat",0,UAD310,2.54,1.75,0.00,0.85,14.88
"molasses",0,4-04-696,1.76,1.28,1.91,0.74,5.80
"oat_hay",0,1-09-099,1.10,0.61,1.17,0.92,9.10
"oat_hulls",0,UAD311,0.75,0.44,0.00,0.92,4.00
"oat_silage",0,3-21-843,1.15,0.66,1.23,0.84,12.90
"oat_straw",0,UAD223,1.10,0.65,0.00,0.91,4.50
"oats",0,4-03-309,1.77,1.26,1.90,0.90,13.20
"onion",0,UAD312,1.39,0.82,0.00,0.81,12.60
"pasture",0,2-02-260,1.54,1.06,1.67,0.84,26.50
"peanut_hay",0,1-07-788,1.28,0.80,1.38,0.84,20.80
"pea_silage",0,1-02-243,1.23,0.75,1.33,0.84,13.30
"pmr",0,UAD190,1.72,1.18,0.00,0.98,18.00
"potatoes",0,UAD313,0.85,0.59,0.00,0.81,10.00
"pro_lak",0,UAD314,0.73,0.50,0.00,0.93,79.33
"protein_mix",0,UAD315,2.21,1.52,0.00,0.93,33.20
"pulp_big_mix",0,UAD316,1.78,1.23,0.00,0.90,6.39
"red_top_w_fat",0,UAD318,5.50,3.80,0.00,0.88,0.00
"rice",0,UAD319,2.05,1.41,0.00,0.85,8.00
"rice_bran",0,4-03-928,2.05,1.43,2.10,0.91,15.50
"rumensin_mix",0,UAD111,1.46,1.01,0.00,0.90,13.90
"rye_haylage",0,3-02-218,1.16,0.68,1.25,0.84,16.80
"ryegrass_silage",0,3-21-853,1.28,0.79,1.37,0.84,16.10
"smartamine",0,UAD320,1.70,1.17,0.00,0.90,100.00
"sorghum_grain",0,4-04-380,1.80,1.30,1.95,0.89,11.60
"sorghum_silage",0,3-04-499,1.07,0.57,1.13,0.84,10.80
"soy_hulls",0,1-04-560,1.46,0.98,1.58,0.91,13.90
"soybean_meal",0,5-20-637,2.13,1.59,2.29,0.89,49.90
"soybean,_extruded",0,5-04-597,2.72,1.95,2.73,0.91,43.00
"soybean,_raw",0,5-04-597,2.72,1.95,2.73,0.91,43.00
"soybean,_roasted",0,5-04-597,2.72,1.95,2.73,0.91,43.00
"soychlor",0,UAD321,2.21,1.52,0.00,0.98,23.22
"soypass",0,5-20-637,2.13,1.59,2.29,0.89,49.90
"sudangrass_hay",0,1-04-480,1.05,0.56,1.11,0.87,9.40
"sudangrass_silage",0,3-04-499,1.07,0.57,1.13,0.84,10.80
"sugar",0,UAD323,1.90,1.31,0.00,0.90,0.00
"sugar_cane_silage",0,3-04-499,1.07,0.57,1.13,0.84,10.80
"sunflower_meal",0,5-30-032,1.38,0.92,1.49,0.92,28.40
"sunflowers",0,5-08-530,3.38,2.27,3.13,0.92,19.20
"supplement",0,UAD341,0.00,0.00,0.00,0.98,1.00
"sweet_corn_wasteage",0,UAD327,1.10,0.65,0.00,0.35,10.80
"timothy_hay",0,1-02-243,1.23,0.75,1.33,0.84,13.30
"tomato_silage",0,1-02-243,1.23,0.75,1.33,0.84,13.30
